ref,hyp,wer,cer,duration_sec,n_ref_words
все во вселенной состоит из материи вся материя состоит из мельчайших частиц называемых атомами,все во вселенной состоит из материи вся материя состоит из мельчайших частиц называемых атомами,0.0,0.0,8.52,14
великая пирамида была возведена египтянами в третьем веке до нашей эры и является одним из множества больших пирамидальных сооружений построенных чтобы почтить память фараона,великая пирамида была возведена египтянами в iii веке до нэ и является одним из множества больших пирамидальных сооружений построенных чтобы почтить память фараона,0.125,0.0805,11.82,24
сердцем тибетской медитации считается йога божеств посредством визуализации разнообразных божеств чистятся энергетические каналы запускаются чакры и достигается просветлённость сознания,сердцем тибетской медитации считается йога божеств посредством визуализации разнообразных божеств чистятся энергетические каналы запускаются чакры и достигается просветленное сознание,0.1053,0.027,13.32,19
шпалы начали применяться довольно давно для того чтобы удерживать рельсы на месте однако впоследствии стало ясно что пути были более эффективны при полосе из железа сверху,шпалы начали применяться довольно давно для того чтобы удерживать рельсы на месте однако впоследствии стало ясно что пути были более эффективны при полосе из железа сверху,0.0,0.0,12.3,26
мадагаскар намного больше других и является самобытным континентом в том что касается дикой природы,мадагаскар намного больше других и является самобытным континентом в том что касается дикой природы,0.0,0.0,8.1,14
если вы хотите находиться рядом со сценой вам нужно приехать заранее чтобы найти место для кемпинга вблизи от музыки,если вы хотите находиться рядом со сценой вам нужно приехать заранее чтобы найти место для кемпинга вблизи от музыки,0.0,0.0,8.34,19
львиные прайды ведут себя очень похоже со стаями волков или собак животных которые по повадкам удивительно похожи на львов но не других крупных кошек и тоже очень опасны для своих жертв,львиные прайды ведут себя очень похоже на волков или собак животных которые по повадкам удивительно похожи на львов но не других крупных кошек и тоже очень опасны для своих жертв,0.0645,0.0432,18.12,31
поскольку световое загрязнение в период их расцвета не было такой проблемой как сегодня они обычно расположены в городах или в кампусах до которых легче добраться чем до тех которые построены в наше время,поскольку световое загрязнение в период их расцвета не было такой проблемой как сегодня они обычно расположены в городах или в кампусах до которых легче добраться чем до тех которые построены в наше время,0.0,0.0,14.16,33
он не смог принять препараты необходимые для облегчения боли так как они запрещены в играх,он не смог принять препараты необходимые для облегчения боли так как они запрещены в играх,0.0,0.0,7.56,15
25 листовок данлэпа известные на настоящее время являются старейшими выжившими копиями документа оригинальная рукописная копия не дошла до нас,25 листовых данлоба известные на настоящее время являются старейшими выжившими копиями документа оригинальная рукописная копия не дошла до нас,0.1053,0.0282,13.56,19
ее очень нелегко обнаружить даже тому кто знает о ее существовании в пещере человек оказывается в полной изоляции,её очень нелегко обнаружить даже тому кто знает о её существовании в пещере человек оказывается в полной изоляции,0.1111,0.0177,12.6,18
султан марокко перестроил город под названием эддарэльбейда а испанские торговцы создавшие тут торговые базы назвали его касабланка,султан марокко перестроил город под названием этдарэльбейта а испанские торговцы создавшие тут торговые базы назвали его касабланка,0.0588,0.0153,11.16,17
гжа киршнер объявила о своём намерении баллотироваться на пост президента в аргентинском театре в том же месте где она начала свою предвыборную кампанию в сенат в 2005 году в качестве члена делегации провинции буэносайрес,госпожа киршнер объявила о своем намерении баллотироваться на пост президента в аргентинском театре в том же месте где она начала свою предвыборную кампанию в сенат в 2005 году в качестве члена делегации провинции буэносайрес,0.0588,0.0226,16.32,34
цивилизация это отдельная культура носителями которой является достаточно большая группа людей живущих и работающих вместе общество,цивилизация это отдельная культура носителями которой является достаточно большая группа людей живущих и работающих вместе общество,0.0,0.0,11.7,16
круизы в санктпетербург включают прогулки по городу пассажиры круизов освобождены от визовых требований уточните условия,круизы в санктпетербург включают прогулки по городу пассажиры круизов освобождены от визовых требований уточните условия,0.0,0.0,10.44,15
людям с античных времен были известны основные химические элементы такие как золото серебро и медь поскольку их все можно встретить в природе в чистом виде и относительно легко добывать с помощью примитивных орудий,людям с античных времен были известны основные химические элементы такие как золото серебро и медь поскольку их все можно встретить в природе в чистом виде и относительно легко добывать с помощью примитивных орудий,0.0,0.0,14.58,33
подобные площадки которые посетило большое количество людей были организованы во многих других городах италии и в остальном мире в частности в польше,подобные площадки которые посетило большое количество людей были организованы во многих других городах италии и в остальном мире в частности в польше,0.0,0.0,13.86,22
сегрегация и рекомбинация с каждым поколением тасуют вариации между двумя пулами,сегрегация и рекомбинация с каждым поколением тасуют вариации между двумя пулами,0.0,0.0,7.92,11
спутник был доставлен в космос ракетой ученые используют телескопы в космосе потому что атмосфера земли в некоторой степени искажает наш свет и обзор,спутник был доставлен в космос ракетой ученые используют телескопы в космосе потому что атмосфера земли в некоторой степени искажает наш свет и обзор,0.0,0.0,11.52,23
чтобыу видеть самые живописные места гонконга следует покинуть остров и направиться на побережье полуострова цзюлун что находится напротив,чтобы увидеть самые живописные места гонконга следует покинуть остров и направиться на побережье полуострова цюлун что находится напротив,0.1667,0.0217,9.96,18
на прошлой недели министерство экономики труда и промышленности объявило что apple проинформировала его о 34 дополнительных случаях перегрева которые компания назвала несерьёзными,на прошлой неделе министерство экономики труда и промышленности объявило что apple проинформировала его о 34 дополнительных случаях перегрева которые компания назвала несерьезными,0.0909,0.0112,17.76,22
согласно плану мост полностью войдёт в эксплуатацию в сентябре 2017 года когда бразильские пункты таможенной проверки как ожидается будут завершены,согласно плану мост полностью войдет в эксплуатацию в сентябре 2017 года когда образец и пункты таможенной проверки как ожидается будут завершены,0.15,0.0544,11.16,20
в репортажах по телевидению сообщается о белом дыме идущем от завода,в репортажах по телевидению сообщается о белом дыме идущем от завода,0.0,0.0,5.7,11
цивилизация это отдельная культура носителями которой является достаточно большая группа людей живущих и работающих вместе общество,цивилизация это отдельная культура носителями которой является достаточно большая группа людей живущих и работающих вместе общества,0.0625,0.0076,11.28,16
вопервых большинство наездников носят сапоги для верховой езды с каблуком имеющие гладкую и довольно тонкую подошву,вопервых большинство наездников носят сапоги для верховой езды с каблуком имеющие гладкую и довольно тонкую подошву,0.0,0.0,8.58,16
после строительства плотины в 1963 году сезонные паводки распространявшие по реке отложения прекратились,после строительства плотины в 1963 году сезонные паводки распространявшие по реке отложения прекратились,0.0,0.0,11.4,13
сегрегация и рекомбинация с каждым поколением тасуют вариации между двумя пулами,сегрегация и рекомбинация с каждым поколением тасуют вариации между двумя пулами,0.0,0.0,8.04,11
в последствие он был перемещён в госпиталь адденбрук в кембридже,впоследствии он был перемещен в госпиталь аденбрук в кембридже,0.4,0.0625,5.46,10
в результате бригады пожарных потушили пожар к 2335,в результате бригады пожарных потушили пожар к 2335,0.0,0.0,6.72,8
переносчиками являются свиньи от которых через комаров болезнь затем передаётся человеку,переносчиками являются свиньи от которых через комаров болезнь затем передается человеку,0.0909,0.0114,7.08,11
это кажется разумной идеей потому что мы не чувствуем что земля движется не так ли,это кажется разумной идеей потому что мы не чувствуем что земля движется не так ли,0.0,0.0,9.24,15
комиссия стала ответом мартелли на массовые протесты против государственного режима начавшиеся в октябре,комиссия стала ответом марты эли на массовые протесты против государственного режима начавшиеся в октябре,0.1538,0.0288,7.5,13
стрекозы и поденки являются единственными насекомыми которые не могут складывать крылья назад,стрекозы и паденки являются единственными насекомыми которые не могут складывать крылья назад,0.0833,0.0108,7.32,12
как и во всех южноафриканских национальных парках в этом парке существует ежедневная плата за его охрану и посещение,как и во всех южноафриканских национальных парках в этом парке существует ежедневная плата за его охрану и посещение,0.0,0.0,10.62,18
роландо мендоса выстреливал из своей винтовки м16 в туристов,роланда мендоса выстреливал из своей винтовки м16 в туристов,0.1111,0.0167,8.94,9
и наконец многие маленькие кошки включая гуляющих домашних кошек едят и охотятся на намного более многочисленных мелких животных наподобие насекомых грызунов ящериц и птиц,и наконец многие маленькие кошки включая гуляющих домашних кошек едят и охотятся на намного более многочисленных мелких животных наподобие насекомых грызунов ящериц и птиц,0.0,0.0,14.28,24
четыре лыжницы в женской сидячей группе не смогли завершить свои заезды и 45 из 117 лыжниц в гигантском слаломе не сумели занять места в гонке,четыре лыжницы в женской сидячей группе не смогли завершить свои заезды и 45 из 117 лыжниц в гигантском слаломе не сумели занять места в гонке,0.0,0.0,14.76,25
апиа столица самоа город расположен на острове уполу и имеет население чуть менее 40 000 жителей,апия столица самоа город расположен на острове уполу и имеет население чуть менее 40 тысяч жителей,0.125,0.0625,9.48,16
прочие вопросы в повестке дня на бали включают в себя сохранение оставшихся в мире лесов и обмен технологиями чтобы способствовать росту развивающихся стран с меньшими загрязняющими последствиями,вопросы в повестке дня на бали включают в себя сохранение оставшихся в мире лесов и обмен технологиями чтобы способствовать росту развивающихся стран с меньшими загрязняющими последствиями,0.037,0.0359,13.86,27
итальянский язык также является повседневным языком для большинства людей работающих в государстве в то время как латынь зачастую используется в религиозных церемониях,итальянский язык также является повседневным языком для большинства людей работающих в государстве в то время как латынь зачастую используется в религиозных церемониях,0.0,0.0,12.48,22
поверхность луны состоит из камней и пыли внешний слой луны называется корой,поверхность луны состоит из камней и пыли внешний слой луны называется корой,0.0,0.0,6.6,12
севернее посетите также великий храм фатимской богоматери усыпальница место всемирно известных явлений девы марии,севернее посетите также великий храм фатимской богоматери усыпальница место всемирно известных явлений девы марии,0.0,0.0,9.12,14
после строительства плотины в 1963 году сезонные паводки распространявшие по реке отложения прекратились,после строительства плотины в 1963 году сезонные паводки распространявшие парики отложения прекратились,0.1538,0.0385,13.26,13
философ аристотель считал что всё состоит из смеси одного или нескольких из четырёх элементов это были земля вода воздух и огонь,философ аристотель считал что всё состоит из смеси одного или нескольких из четырёх элементов это были земля вода воздух и огонь,0.0,0.0,14.52,21
это кажется разумной идеей потому что мы не чувствуем что земля движется не так ли,это кажется разумной идеей потому что мы не чувствуем что земля движется не так ли,0.0,0.0,6.12,15
возможно вам также следует проконсультироваться с другими правительствами помимо своего но их рекомендации направлены на своих граждан,возможно вам также следует проконсультироваться с другими правительствами помимо своего но их рекомендации направлены на своих граждан,0.0,0.0,8.76,17
целые 20 процентов воды поступаемой из рек нашей планеты в океаны текут из амазонки,целые 20 воды поступаемой из рек нашей планеты в океаны текут из амазонки,0.0714,0.1205,8.4,14
он также атаковал все что входило в воду даже гигантский динозавр такой как тиранозавр не сравнился бы с ним,он также атаковал все что входило в воду даже гигантский динозавр такой как тираннозавр не сравнился бы с ним,0.0526,0.0093,11.88,19
каждый является членом общества и использует транспортные системы практически каждый жалуется на эти систем,каждый является членом общества и использует транспортные системы практически каждый жалуется на эти системы,0.0714,0.0093,8.28,14
кроме того между правлениями каждой династии царила раздробленность и нестабильность самой известной была эпоха троецарствия которая длилась 60 лет во время династий хань и цзинь,кроме того между правлениями каждой династии царила раздробленность и нестабильность самой известной была эпоха троицарствия которая длилась 60 лет во время династии хань и цзинь,0.08,0.0112,13.56,25
первоначально он был госпитализирован в госпитале джеймса педжета в грейтярмуте,первоначально он был госпитализирован в госпитале джеймса педжита в грейтярмуте,0.1,0.0127,7.8,10
помните что даже если музыка на главных сценах может уже закончится на фестивале могут быть участки на которых будут продолжать играть музыку до поздней ночи,помните что даже если музыка на главных сценах может уже закончиться на фестивале могут быть участки на которых будут продолжать играть музыку до поздней ночи,0.04,0.0064,10.92,25
в докладе содержится резкая критика почти каждого аспекта нынешней политики исполнительной власти в отношении ирака и настоятельный призыв к незамедлительной смене курса,в докладе содержится резкая критика почти каждого аспекта нынешней политики исполнительной власти в отношении ирака и настоятельный призыв к незамедлительной смене курса,0.0,0.0,11.34,22
оттава это прелестная двуязычная столица канады с огромным количеством художественных галерей и музеев открывающих прошлое и настоящее канады,оттава это прелестная двуязычная столица канады с огромным количеством художественных галерей и музеев открывающих прошлое и настоящее канады,0.0,0.0,10.98,18
сравнительно не далеко к северу расположен романтический и очаровательный городок синтра воспетый лордом байроном и получивший после этого известность во всём мире,сравнительно недалеко к северу расположен романтический и очаровательный городок синтра воспетый лордом байроном и получивший после этого известность во всем мире,0.1364,0.0123,11.64,22
