ref,hyp,wer,cer,duration_sec,n_ref_words
it was silent and gloomy being tenanted solely by the captive and lighted by the dying embers of a fire which had been used for the purposed of cookery,it was silent and gloomy being tenanted solely by the captive and lighted by the dying embers of a fire which had been used for the purpose of cookery,0.0345,0.0066,9.695,29
uncas occupied a distant corner in a reclining attitude being rigidly bound both hands and feet by strong and painful withes,uncas occupied a distant corner in a reclining attitude being rigidly bound both hands and feet by strong and painful widths,0.0476,0.0161,8.23,21
the scout who had left david at the door to ascertain they were not observed thought it prudent to preserve his disguise until assured of their privacy,the scout who had left david at the door to ascertain they were not observed thought it prudent to preserve his disguise until assured of their privacy,0.0,0.0,8.895,27
what shall we do with the mingoes at the door they count six and this singer is as good as nothing,what shall we do with the mingos at the door they count six and the singer is as good as nothing,0.0952,0.0306,5.335,21
the delawares are children of the tortoise and they outstrip the deer,the delawares are children of the tortoise and they outstrip the deer,0.0,0.0,3.855,12
uncas who had already approached the door in readiness to lead the way now recoiled and placed himself once more in the bottom of the lodge,uncas who had already approached the door in readiness to lead the way now recoiled and placed himself once more in the bottom of the lodge,0.0,0.0,7.815,26
but hawkeye who was too much occupied with his own thoughts to note the movement continued speaking more to himself than to his companion,but hawkeye who was too much occupied with his own thoughts to note the movement continued speaking more to himself than to his companion,0.0,0.0,7.555,24
so uncas you had better take the lead while i will put on the skin again and trust to cunning for want of speed,so uncas you had better take the lead while i will put on the skin again and trust to cunning for want of speed,0.0,0.0,6.36,24
well what cant be done by main courage in war must be done by circumvention,well what cant be done by main courage in war must be done by circumvention,0.0,0.0,5.225,15
as soon as these dispositions were made the scout turned to david and gave him his parting instructions,as soon as these dispositions were made the scout turned to david and gave him his parting instructions,0.0,0.0,5.69,18
my pursuits are peaceful and my temper i humbly trust is greatly given to mercy and love returned david a little nettled at so direct an attack on his manhood but there are none who can say that i have ever forgotten my faith in the lord even in the greatest straits,my pursuits are peaceful and my temper i humbly trust is greatly given to mercy and love returned david a little nettled at so direct an attack on his manhood but there are none who can say that i have ever forgotten my faith in the lord even in the greatest straits,0.0,0.0,15.995,52
if you are not then knocked on the head your being a non composser will protect you and youll then have a good reason to expect to die in your bed,if you are not then knocked on the head your being a non composer will protect you and youll then have a good reason to expect to die in your bed,0.0323,0.0068,7.875,31
so choose for yourself to make a rush or tarry here,so choose for yourself to make a rush or tarry here,0.0,0.0,3.98,11
bravely and generously has he battled in my behalf and this and more will i dare in his service,bravely and generously has he battled in my behalf and this and more will i dare in his service,0.0,0.0,6.285,19
keep silent as long as may be and it would be wise when you do speak to break out suddenly in one of your shoutings which will serve to remind the indians that you are not altogether as responsible as men should be,keep silent as long as may be and it would be wise when you do speak to break out suddenly in one of your shoutings which will serve to remind the indians that you are not altogether as responsible as men should be,0.0,0.0,11.28,43
if however they take your scalp as i trust and believe they will not depend on it uncas and i will not forget the deed but revenge it as becomes true warriors and trusty friends,if however they take your scalp as i trust and believe they will not depend on it uncas and i will not forget the deed but revenge it as becomes true warriors and trusty friends,0.0,0.0,11.045,35
hold said david perceiving that with this assurance they were about to leave him i am an unworthy and humble follower of one who taught not the damnable principle of revenge,hold said david perceiving that with this assurance they were about to leave him i am an unworthy and humble follower of one who taught not the damnable principle of revenge,0.0,0.0,9.485,31
then heaving a heavy sigh probably among the last he ever drew in pining for a condition he had so long abandoned he added it is what i would wish to practise myself as one without a cross of blood though it is not always easy to deal with an indian as you would with a fellow christian,then heaving a heavy sigh probably among the last he ever drew in pining for a condition he had so long abandoned he added it is what i would wish to practice myself as one without a cross of blood though it is not always easy to deal with an indian as you would with a fellow christian,0.0172,0.0035,18.22,58
god bless you friend i do believe your scent is not greatly wrong when the matter is duly considered and keeping eternity before the eyes though much depends on the natural gifts and the force of temptation,god bless you friend i do believe your scent is not greatly wrong when the matter is duly considered and keeping eternity before the eyes though much depends on the natural gifts and the force of temptation,0.0,0.0,12.37,37
the delaware dog he said leaning forward and peering through the dim light to catch the expression of the others features is he afraid,the delaware dog he said leaning forward and peering through the dim light to catch the expression of the others features is he afraid,0.0,0.0,7.18,24
will the hurons hear his groans,will the hurons hear his groans,0.0,0.0,2.24,6
the mohican started on his feet and shook his shaggy covering as though the animal he counterfeited was about to make some desperate effort,the mohican started on his feet and shook his shaggy covering as though the animal he counterfeited was about to make some desperate effort,0.0,0.0,7.055,24
he had no occasion to delay for at the next instant a burst of cries filled the outer air and ran along the whole extent of the village,he had no occasion to delay for at the next instant a burst of cries filled the outer air and ran along the whole extent of the village,0.0,0.0,7.975,28
uncas cast his skin and stepped forth in his own beautiful proportions,uncas cast his skin and stepped forth in his own beautiful proportions,0.0,0.0,4.15,12
since the period of our tale the active spirit of the country has surrounded it with a belt of rich and thriving settlements though none but the hunter or the savage is ever known even now to penetrate its wild recesses,since the period of our tale the active spirit of the country has surrounded it with a belt of rich and thriving settlements though none but the hunter or the savage is ever known even now to penetrate its wild recesses,0.0,0.0,13.48,41
the dews were suffered to exhale and the sun had dispersed the mists and was shedding a strong and clear light in the forest when the travelers resumed their journey,the dews were suffered to exhale and the sun had dispersed the mists and was shedding a strong and clear light in the forest when the travelers resumed their journey,0.0,0.0,9.52,30
after proceeding a few miles the progress of hawkeye who led the advance became more deliberate and watchful,after proceeding a few miles the progress of hawkeye who led the advance became more deliberate and watchful,0.0,0.0,7.46,18
he often stopped to examine the trees nor did he cross a rivulet without attentively considering the quantity the velocity and the color of its waters,he often stopped to examine the trees nor did he cross a rivulet without attentively considering the quantity the velocity and the colour of its waters,0.0385,0.0067,9.865,26
distrusting his own judgment his appeals to the opinion of chingachgook were frequent and earnest,distrusting his own judgment his appeals to the opinion of chingachkuk were frequent and earnest,0.0667,0.0309,6.425,15
yet here are we within a short range of the scaroons and not a sign of a trail have we crossed,yet here are we within a short range of the scaroons and not a sign of a trail have we crossed,0.0,0.0,5.915,21
let us retrace our steps and examine as we go with keener eyes,let us retrace our steps and examine as we go with keener eyes,0.0,0.0,4.845,13
chingachgook had caught the look and motioning with his hand he bade him speak,chingachguk had caught the look and motioning with his hand he bade him speak,0.0714,0.0256,5.54,14
the eyes of the whole party followed the unexpected movement and read their success in the air of triumph that the youth assumed,the eyes of the whole party followed the unexpected movement and read their success in the air of triumph that the youth assumed,0.0,0.0,7.875,23
it would have been more wonderful had he spoken without a bidding,it would have been more wonderful had he spoken without a bidding,0.0,0.0,3.88,12
see said uncas pointing north and south at the evident marks of the broad trail on either side of him the dark hair has gone toward the forest,see said uncas pointing north and south at the evident marks of the broad trail on either side of him the dark hair has gone toward the forest,0.0,0.0,10.195,28
if a rock or a rivulet or a bit of earth harder than common severed the links of the clew they followed the true eye of the scout recovered them at a distance and seldom rendered the delay of a single moment necessary,if a rock or a rivulet or a bit of earth harder than common severed the links of the clue they followed the true eye of the scout recovered them at a distance and seldom rendered the delay of a single moment necessary,0.0233,0.0092,13.695,43
extinguished brands were lying around a spring the offals of a deer were scattered about the place and the trees bore evident marks of having been browsed by the horses,extinguished brands were lying around a spring the offals of a deer were scattered about the place and the trees bore evident marks of having been browsed by the horses,0.0,0.0,10.49,30
a circle of a few hundred feet in circumference was drawn and each of the party took a segment for his portion,a circle of a few hundred feet in circumference was drawn and each of the party took a segment for his portion,0.0,0.0,6.55,22
the examination however resulted in no discovery,the examination however resulted in no discovery,0.0,0.0,3.515,7
the whole party crowded to the spot where uncas pointed out the impression of a moccasin in the moist alluvion,the whole party crowded to the spot where uncas pointed out the impression of a moccasin in the moist alluvium,0.05,0.0182,6.385,20
run back uncas and bring me the size of the singers foot,run back uncas and bring me the size of the singers foot,0.0,0.0,3.49,12
eleven oclock had struck it was a fine clear night they were the only persons on the road and they sauntered leisurely along to avoid paying the price of fatigue for the recreation provided for the toledans in their valley or on the banks of their river,eleven oclock had struck it was a fine clear night there were the only persons on the road and they sauntered leisurely along to avoid paying the price of fatigue for the recreation provided for the toledans in the valley or on the banks of their river,0.0426,0.0158,15.77,47
secure as he thought in the careful administration of justice in that city and the character of its well disposed inhabitants the good hidalgo was far from thinking that any disaster could befal his family,secure as he thought in the careful administration of justice in that city and the character of its well disposed inhabitants the good hidalgo was far from thinking that any disaster could befall his family,0.0286,0.0049,12.44,35
rodolfo and his companions with their faces muffled in their cloaks stared rudely and insolently at the mother the daughter and the servant maid,rodolfo and his companions with their faces muffled in their cloaks stared rudely and insolently at the mother the daughter and the servant maid,0.0,0.0,8.91,24
in a moment he communicated his thoughts to his companions and in the next moment they resolved to turn back and carry her off to please rodolfo for the rich who are open handed always find parasites ready to encourage their bad propensities and thus to conceive this wicked design to communicate it approve it resolve on ravishing leocadia and to carry that design into effect was the work of a moment,in a moment he communicated his thoughts to his companions and in the next moment they resolved to turn back and carry her off to please rudolfo for the rich who are open handed always find parasites ready to encourage their bad propensities and thus to conceive this wicked design to communicate it approve it resolve on ravishing leocadia and to carry that design into effect was the work of a moment,0.0139,0.0025,27.12,72
they drew their swords hid their faces in the flaps of their cloaks turned back and soon came in front of the little party who had not yet done giving thanks to god for their escape from those audacious men,they drew their swords hid their faces in the flaps of their cloaks turned back and soon came in front of the little party who had not yet done giving thanks to god for their escape from those audacious men,0.0,0.0,12.475,40
finally the one party went off exulting and the other was left in desolation and woe,finally the one party went off exulting and the other was left in desolation and woe,0.0,0.0,5.645,16
rodolfo arrived at his own house without any impediment and leocadias parents reached theirs heart broken and despairing,rudolfo arrived at his own house without any impediment and leucadias parents reached theirs heartbroken and despairing,0.2222,0.025,8.045,18
meanwhile rodolfo had leocadia safe in his custody and in his own apartment,meanwhile rudolfo had leocheria safe in his custody and in his own apartment,0.1538,0.0533,5.825,13
who touches me am i in bed,who touches me am i in bed,0.0,0.0,2.215,7
mother dear father do you hear me,mother dear father do you hear me,0.0,0.0,2.375,7
it is the only amends i ask of you for the wrong you have done me,it is the only amends i ask of you for the wrong you have done me,0.0,0.0,4.12,16
she found the door but it was locked outside,she found the door but it was locked outside,0.0,0.0,2.665,9
she succeeded in opening the window and the moonlight shone in so brightly that she could distinguish the colour of some damask hangings in the room,she succeeded in opening the window and the moonlight shone in so brightly that she could distinguish the colour of some damask hanging in the room,0.0385,0.0068,8.595,26
she saw that the bed was gilded and so rich that it seemed that of a prince rather than of a private gentleman,she saw that the bed was gilded and so rich that it seemed that of a prince rather than of a private gentleman,0.0,0.0,6.865,23
among other things on which she cast her eyes was a small crucifix of solid silver standing on a cabinet near the window,among other things on which she cast her eyes was a small crucifix of solid silver standing on a cabinet near the window,0.0,0.0,7.72,23
this person was rodolfo who though he had gone to look for his friends had changed his mind in that respect not thinking it advisable to acquaint them with what had passed between him and the girl,this person was rudolfo who though he had gone to look for his friends had changed his mind in that respect not thinking it advisable to acquaint them with what had passed between him and the girl,0.027,0.0051,11.02,37
on the contrary he resolved to tell them that repenting of his violence and moved by her tears he had only carried her half way towards his house and then let her go,on the contrary he resolved to tell them that repenting of his violence and moved by a tears he had only carried her half way towards his house and then let her go,0.0303,0.0182,9.49,33
choking with emotion leocadi made a sign to her parents that she wished to be alone with them,choking with emotion leocadia made a sign to her parents that she wished to be alone with them,0.0556,0.0108,5.88,18
that would be very well my child replied her father if your plan were not liable to be frustrated by ordinary cunning but no doubt this image has been already missed by its owner and he will have set it down for certain that it was taken out of the room by the person he locked up there,that would be very well my child replied her father if your plan were not liable to be frustrated by ordinary cunning but no doubt this image had been already missed by its owner and he will have set it down for certain that it was taken out of the room by the person he locked up there,0.0172,0.0035,15.415,58
what you had best do my child is to keep it and pray to it that since it was a witness to your undoing it will deign to vindicate your cause by its righteous judgment,what you had best do my child is to keep it and pray to it that since it was a witness to your undoing it will deign to vindicate your cause by its righteous judgment,0.0,0.0,12.06,35
thus did this humane and right minded father comfort his unhappy daughter and her mother embracing her again did all she could to soothe her feelings,thus did the humane and right minded father comfort his unhappy daughter and her mother embracing her again did all she could to soothe the feelings,0.0769,0.0268,9.82,26
she meanwhile passed her life with her parents in the strictest retirement never letting herself be seen but shunning every eye lest it should read her misfortune in her face,she meanwhile passed her life with her parents in the strictest retirement never letting herself be seen but shunning every eye lest it should read her misfortune in her face,0.0,0.0,10.98,30
time rolled on the hour of her delivery arrived it took place in the utmost secrecy her mother taking upon her the office of midwife and she gave birth to a son one of the most beautiful ever seen,time rolled on the hour of her delivery arrived it took place in the utmost secrecy her mother taking upon her the office of midwife and she gave birth to a son one of the most beautiful ever seen,0.0,0.0,13.645,39
when the boy walked through the streets blessings were showered upon him by all who saw him blessings upon his beauty upon the mother that bore him upon the father that begot him upon those who brought him up so well,when the boy walked through the streets blessings were showered upon him by all who saw him blessing upon his beauty upon the mother that bore him upon the father that begot him upon those who brought him up so well,0.0244,0.0046,13.92,41
one day when the boy was sent by his grandfather with a message to a relation he passed along a street in which there was a great concourse of horsemen,one day when the boy was sent by his grandfather with a message to a relation he passed along a street in which there was a great concourse of horsemen,0.0,0.0,8.845,30
the bed she too well remembered was there and above all the cabinet on which had stood the image she had taken away was still on the same spot,the bed she too well remembered was there and above all the cabinet on which had stood the image she had taken away was still on the same spot,0.0,0.0,8.785,29
luis was out of danger in a fortnight in a month he rose from his bed and during all that time he was visited daily by his mother and grandmother and treated by the master and mistress of the house as if he was their own child,louis was out of danger in a fortnight in a month he rose from his bed and during all that time he was visited daily by his mother and grandmother and treated by the master and mistress of the house as if he was their own child,0.0213,0.0044,14.5,47
