ref,hyp,wer,cer,duration_sec,n_ref_words
например ежегодно учащиеся школы беннет в северной каролине создают сайт о своём посещении столицы штата и каждый год этот сайт обновляется но доступ к старым версиям попрежнему сохраняется они служат памятным альбомом,например ежегодную чащееся школу баннад все в尷尬 на коррине создают сайта с вами посещение столица штата и каждый год этот сайт опновляется но доступ к старым версиям по прежнему сохраняется они служат памятным альбомом,0.5,0.1284,17.76,32
долина кочамо главное направление в чили для альпинизма она известна как йосмит южной америки и имеет большое количество больших гранитных стен и скал,дарина качамма главна направления в челель для альпинизма она известно как ее смет южной америки и имеет большое количество больших границных стен из кал,0.4783,0.1333,11.88,23
начиная с 1988 года урны для избирательных бюллетеней должны быть прозрачными чтобы избиратели и наблюдатели могли убедиться в том что в начале голосования внутри нет конвертов и что к ним не добавлены какиелибо другие конверты кроме конвертов тех людей которых допустили к участию в голосовании и голоса которых подсчитали надлежащим образом,ночиная с 1888 года урнодля из бирательных билетений должны быть прозрачными чтобы избиратели и наблюдатели могли убилиться в том что в начале голосования внутри нет конвертов и что к ним не добавленные какиелибо другие конверты кроме конвертов всех людей которых допустили к участию в голосовании и голоса,0.2549,0.152,33.84,51
чем ниже напряжение тем более позитивна присутствующая в вас жизненная сила каждому человеку потенциально дано обрести абсолютные покой и чувство удовлетворения,чем ниже напряжение тем более позитивно присутствующая ваше жизни наисила каждому человеку потенциально на дно обрести абсолютно и покой и чувство удовлетворения,0.4286,0.0938,12.3,21
людям с античных времен были известны основные химические элементы такие как золото серебро и медь поскольку их все можно встретить в природе в чистом виде и относительно легко добывать с помощью примитивных орудий,людям сантичных времен были известны основные химические элементы такие как золото серебро иметь поскольку их все можно встретить в природе в чистом виде и относительно легко добывать с помощью примитивных орудий,0.1212,0.014,20.04,33
за ночь было изготовлено 150200 копий теперь известных как листовки данлэпа,занеж был изготовлен в 150 км теперь известных как листовки дан лопа,0.7273,0.2133,8.16,11
все во вселенной состоит из материи вся материя состоит из мельчайших частиц называемых атомами,все во вселенной состоит из материи все материи состоит из мельчаших частиц называемых атомами,0.2143,0.0316,8.52,14
великая пирамида была возведена египтянами в третьем веке до нашей эры и является одним из множества больших пирамидальных сооружений построенных чтобы почтить память фараона,великая пирамента была возвести на эгиптянами в третьей инвеке до нашей эры и является одним из множеств в больших пираментальных соружений построенных чтобы почтить память фрауна,0.4583,0.1092,11.82,24
сердцем тибетской медитации считается йога божеств посредством визуализации разнообразных божеств чистятся энергетические каналы запускаются чакры и достигается просветлённость сознания,серкцем тебецком медитации считается йога божеств по средствам визуализации разнообразных божеств чистятся энергетические каналы запускаются чайкры и достигаются просветлённые сознания,0.3684,0.0703,13.32,19
шпалы начали применяться довольно давно для того чтобы удерживать рельсы на месте однако впоследствии стало ясно что пути были более эффективны при полосе из железа сверху,шпалы начали применяться довольно давно для того чтобы удерживать резью на месте однако в последствии стало ясно что пути были более эффективны при полосе изжли за сверху,0.1923,0.0468,12.3,26
мадагаскар намного больше других и является самобытным континентом в том что касается дикой природы,манда госкар намного больше других и является самобытным континетом что касается дикой природы,0.3571,0.101,8.1,14
если вы хотите находиться рядом со сценой вам нужно приехать заранее чтобы найти место для кемпинга вблизи от музыки,если вы хотите находиться рядом со сценой вам нужно приехать за ранее чтобы найти место для компенков в президент музыке,0.3158,0.1207,8.34,19
львиные прайды ведут себя очень похоже со стаями волков или собак животных которые по повадкам удивительно похожи на львов но не других крупных кошек и тоже очень опасны для своих жертв,левиной прайды ведут себя очень похожа на волков или собак животных которые по поваткам удивительно похожа на левов но не других крупных кошек и тоже очень опасный для своих жертв,0.2581,0.0865,18.12,31
поскольку световое загрязнение в период их расцвета не было такой проблемой как сегодня они обычно расположены в городах или в кампусах до которых легче добраться чем до тех которые построены в наше время,поскольку световое загрязление вперею ты их рассвета не было такое проблема и как сегодня они обычно расположены в кородах или в компусах до которых легче добраться чем до тех которые построены в наше время,0.2727,0.0686,14.16,33
он не смог принять препараты необходимые для облегчения боли так как они запрещены в играх,он не смог принять препараты необходимые для облегчения более так как они запрещены в играх,0.0667,0.0222,7.56,15
25 листовок данлэпа известные на настоящее время являются старейшими выжившими копиями документа оригинальная рукописная копия не дошла до нас,25 ст дамлаба известнее на настоящие время и являются старейшими выжившими копиями документа оригинальная руку песная копия не дошла до нас,0.3684,0.1127,13.56,19
ее очень нелегко обнаружить даже тому кто знает о ее существовании в пещере человек оказывается в полной изоляции,ее очень нелегко обнаружить даже тому кто знает ее существование в пещере человека казывается в полной изоляции,0.2222,0.0442,12.6,18
султан марокко перестроил город под названием эддарэльбейда а испанские торговцы создавшие тут торговые базы назвали его касабланка,султан марокка перестроил город под названием этдар эльпейта а из панский торговцы создавшие тут торговые базы назвали его кассоблонка,0.3529,0.084,11.16,17
гжа киршнер объявила о своём намерении баллотироваться на пост президента в аргентинском театре в том же месте где она начала свою предвыборную кампанию в сенат в 2005 году в качестве члена делегации провинции буэносайрес,госпожа киршнер объявила своё вномерение и балотироваться на пост президента воргентинском театре в том же месте ввенана челасвью предвыборную компанию в сенаде 2005 году в качестве члена делегации провинции бояна сайрес,0.4706,0.1403,16.32,34
цивилизация это отдельная культура носителями которой является достаточно большая группа людей живущих и работающих вместе общество,цивилизация это отдельная культура носителями которые являются достаточно большая группа людей живущих работающих вместе общество,0.1875,0.0382,11.7,16
круизы в санктпетербург включают прогулки по городу пассажиры круизов освобождены от визовых требований уточните условия,курей изза в санктпетербург включают прогулки по городу по сожире курейзов освобождены от визовых требований уточните условие,0.4,0.1167,10.44,15
людям с античных времен были известны основные химические элементы такие как золото серебро и медь поскольку их все можно встретить в природе в чистом виде и относительно легко добывать с помощью примитивных орудий,людям с анчичных времен были известны остальные химические элементы такие к вызову то есть я люблю иметь поскольку их все можно встретить природе в чистом виде это действительно легко добавайте с помощью примитивных рудей,0.4242,0.1776,14.58,33
подобные площадки которые посетило большое количество людей были организованы во многих других городах италии и в остальном мире в частности в польше,подубные площадки которые посетило большое количество людей были организованы во многих других городах и талей и в остальном мире в частности в польше,0.1364,0.0268,13.86,22
сегрегация и рекомбинация с каждым поколением тасуют вариации между двумя пулами,сегрегация и рекоменация с каждым поколением тасует вариацией между двумя пулами,0.2727,0.0625,7.92,11
спутник был доставлен в космос ракетой ученые используют телескопы в космосе потому что атмосфера земли в некоторой степени искажает наш свет и обзор,спутник был доставлен в космос ракеты ученые используют юлитскопы в космосе потому что атмосфера земли в некоторой степени и скажет наш свет и отзор,0.2174,0.0604,11.52,23
чтобыу видеть самые живописные места гонконга следует покинуть остров и направиться на побережье полуострова цзюлун что находится напротив,чтобы увидеть самый же в описании с таком конгоследует покинуть остров и направиться на побережье и полустровать всю лун что находится на против,0.8333,0.1957,9.96,18
на прошлой недели министерство экономики труда и промышленности объявило что apple проинформировала его о 34 дополнительных случаях перегрева которые компания назвала несерьёзными,на прошлой неделе министерства экономики труда и промышленности объявило что apple про информировала его от 345полнительных случаях перегрева которые компания называла несередлёзными,0.4091,0.0615,17.76,22
согласно плану мост полностью войдёт в эксплуатацию в сентябре 2017 года когда бразильские пункты таможенной проверки как ожидается будут завершены,согласно плану мост полностью идет в эксплуатацию сентября 2016 года когда образился пункт и там можно и проверки как ожидается будут завершены,0.5,0.1429,11.16,20
в репортажах по телевидению сообщается о белом дыме идущем от завода,в репортажах по телевизне сообщается обелым дыне и тучим от завода,0.4545,0.1618,5.7,11
цивилизация это отдельная культура носителями которой является достаточно большая группа людей живущих и работающих вместе общество,цивилизация это отдельная культура на сикле мы которая является бы достаточно большая группа людей живущих и работающих вместе,0.375,0.1603,11.28,16
вопервых большинство наездников носят сапоги для верховой езды с каблуком имеющие гладкую и довольно тонкую подошву,вопервых большинство наъездников носятся поги для верховую езду из каблуком имеющие галатку и довольно тонкую подушку,0.5,0.1217,8.58,16
после строительства плотины в 1963 году сезонные паводки распространявшие по реке отложения прекратились,после стрейдей стоплотины в 1963 году сезонные паватки распространявшие парики отложения прикортились,0.4615,0.1635,11.4,13
сегрегация и рекомбинация с каждым поколением тасуют вариации между двумя пулами,сыгрегация рекомпинация с каждым поколением то сутворяться и между двумя пулами,0.5455,0.1875,8.04,11
в последствие он был перемещён в госпиталь адденбрук в кембридже,в последствии он был перемещен в госпиталь один брок в кембринже,0.5,0.125,5.46,10
в результате бригады пожарных потушили пожар к 2335,в результате бригады пожарных потушили пожар к 2335,0.0,0.0,6.72,8
переносчиками являются свиньи от которых через комаров болезнь затем передаётся человеку,перенучеками являются свинь от которых через комаров болезда тем передаются человеку,0.4545,0.1023,7.08,11
это кажется разумной идеей потому что мы не чувствуем что земля движется не так ли,это кажется разумный идея потому что мы не чувствуем что земля движется не так ли,0.1333,0.0366,9.24,15
комиссия стала ответом мартелли на массовые протесты против государственного режима начавшиеся в октябре,комиссия стала ответом марта илина массовый протесту просягу садарственного режима начавшейся в аксювре,0.6154,0.1827,7.5,13
стрекозы и поденки являются единственными насекомыми которые не могут складывать крылья назад,стрекозы и паденки являются единственными на секомами которые не могут складывать крылья назад,0.25,0.0323,7.32,12
как и во всех южноафриканских национальных парках в этом парке существует ежедневная плата за его охрану и посещение,как и во всех и женафриканских национальных парках в этом парке существует и жидемная плата за его охрану и посещение,0.2222,0.0776,10.62,18
роландо мендоса выстреливал из своей винтовки м16 в туристов,роландомин доса быстрееливал из своей винтовки м16 в туристов,0.3333,0.0833,8.94,9
и наконец многие маленькие кошки включая гуляющих домашних кошек едят и охотятся на намного более многочисленных мелких животных наподобие насекомых грызунов ящериц и птиц,и наконец многие маленькие кошки включая гуляющих домашний кошек идят и охотится на намного более много численных мелких животных на подобие на секомах грузинов ящелец и птиц,0.4583,0.0643,14.28,24
четыре лыжницы в женской сидячей группе не смогли завершить свои заезды и 45 из 117 лыжниц в гигантском слаломе не сумели занять места в гонке,4 лыжницы в женской сидячей группе не смогли завершить свои заезды и 45 из 17 лыжницы в гигантском слалами не сумели занять места в гонке,0.16,0.0704,14.76,25
апиа столица самоа город расположен на острове уполу и имеет население чуть менее 40 000 жителей,опя столица самого города расположен на острове уполом и имеет население чуть менее 40 тысяч в пожителей,0.4375,0.1771,9.48,16
прочие вопросы в повестке дня на бали включают в себя сохранение оставшихся в мире лесов и обмен технологиями чтобы способствовать росту развивающихся стран с меньшими загрязняющими последствиями,впрочи вопросы в повестке дня на боли включают себя сохранение оставшихся в мире лесов и обмен технологиями чтобы способствовать рост развивающихся стран с меньшими цикресняющими последствиями,0.1852,0.0564,13.86,27
итальянский язык также является повседневным языком для большинства людей работающих в государстве в то время как латынь зачастую используется в религиозных церемониях,итальянский язык также является повседневным языкам для большинства людей в работающую в государстве в то время как латын зачастую используется в религиях разных царемониях,0.3182,0.0719,12.48,22
поверхность луны состоит из камней и пыли внешний слой луны называется корой,поверхность слуны состоит из ко мне и пыли в нежней слои длуны называются корой,0.6667,0.1316,6.6,12
севернее посетите также великий храм фатимской богоматери усыпальница место всемирно известных явлений девы марии,все вернее по сути так же великий храм в отимской богоматере у запальница место всемирной известных явлений девы марии,0.8571,0.1327,9.12,14
после строительства плотины в 1963 году сезонные паводки распространявшие по реке отложения прекратились,после строительства плотины в 1963 году сезонные павотки распространявшие перекетложения прекрасились,0.3846,0.0577,13.26,13
философ аристотель считал что всё состоит из смеси одного или нескольких из четырёх элементов это были земля вода воздух и огонь,филосов арестутили считал что всё состоит из смесь и одного или несколько из четырех элементов это были земля вода воздух и огонь,0.2857,0.0781,14.52,21
это кажется разумной идеей потому что мы не чувствуем что земля движется не так ли,это кажется разумная идея потому что мы не чувствуем что земля движется не так ли,0.1333,0.0488,6.12,15
возможно вам также следует проконсультироваться с другими правительствами помимо своего но их рекомендации направлены на своих граждан,возможно вам также следует про консультироваться с другими правительствами поднимо своего но их рекомендация направлены на свои граждан,0.2941,0.0373,8.76,17
целые 20 процентов воды поступаемой из рек нашей планеты в океаны текут из амазонки,целые 20 воды поступаем из диреку наши планеты в океаны текут из омозонки,0.3571,0.2289,8.4,14
он также атаковал все что входило в воду даже гигантский динозавр такой как тиранозавр не сравнился бы с ним,он так же отоковал все что входило в воду даже гигантский динозавр такой как тиранозавр не сравнился бы с ним,0.1579,0.0278,11.88,19
каждый является членом общества и использует транспортные системы практически каждый жалуется на эти систем,каждый является членом общества использует транспортные системы практически каждый жаловится на эти системы,0.2143,0.0561,8.28,14
кроме того между правлениями каждой династии царила раздробленность и нестабильность самой известной была эпоха троецарствия которая длилась 60 лет во время династий хань и цзинь,кроме того между правлениями каждой династии царила раздробленность и не стабильность самое известное было эпоха троит сарствия которое для 660 лет во время династии хань и дзин,0.48,0.1067,13.56,25
первоначально он был госпитализирован в госпитале джеймса педжета в грейтярмуте,первая начальна он был госпитализирован в госпитале james apagreta в грейт и армуте,0.7,0.2911,7.8,10
помните что даже если музыка на главных сценах может уже закончится на фестивале могут быть участки на которых будут продолжать играть музыку до поздней ночи,помните что даже если музыка на главных сценах может уже закончиться на фестивале могут быть участки на которых будут продолжать играть музыку до поздней ночи,0.04,0.0064,10.92,25
в докладе содержится резкая критика почти каждого аспекта нынешней политики исполнительной власти в отношении ирака и настоятельный призыв к незамедлительной смене курса,в докладе содержится резкая критика почти каждого аспекта нанишней политики исполнительной власти в отношении рака и настоящие ли призыв к не замедлительной смейникурса,0.3182,0.0828,11.34,22
оттава это прелестная двуязычная столица канады с огромным количеством художественных галерей и музеев открывающих прошлое и настоящее канады,оттого это прилестная двоязычная столица канады с огромным количеством художественной калерей и музеев открывающих прошлое и настоящие канады,0.3333,0.0638,10.98,18
сравнительно не далеко к северу расположен романтический и очаровательный городок синтра воспетый лордом байроном и получивший после этого известность во всём мире,сорвительный недалеко к северу расположен романтический и очаровательный городок синтра поспетый лордом байраном и получивший после этого известность во всем мире,0.2727,0.0552,11.64,22
